order_id,customer_id,product_id,order_date,quantity,unit_price
1001,1,101,2023-09-01,2,25.99
1002,1,105,2023-09-03,1,199.99
1003,2,102,2023-09-05,1,79.99
1004,3,103,2023-09-07,3,34.50
1005,4,101,2023-09-09,1,25.99
1006,5,106,2023-09-10,2,59.99
1007,2,104,2023-09-12,1,45.00
1008,6,105,2023-09-14,1,199.99
1009,7,102,2023-09-15,1,79.99
1010,1,101,2023-09-18,1,25.99
1011,8,103,2023-09-20,2,34.50
1012,3,106,2023-09-22,1,59.99
1013,5,104,2023-09-25,1,45.00
1014,7,105,2023-09-28,1,199.99
1015,4,102,2023-09-30,2,79.99
